"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1331	yes	Chicken (red junglefowl)	Ovary	e10	Female	OBIWAN 42 lane 6	e10	24707378	23017486	93%	QIAgen RNeasy QIAzol	9.7	NA	NA
1348	yes	Chicken (red junglefowl)	Ovary	e10	Female	VADER 102 lane 3	e10	28306663	26645191	94%	QIAgen RNeasy QIAzol	9.3	NA	NA
1349	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e10	Female	VADER 102 lane 3	e10	34744186	32829470	94%	QIAgen RNeasy QIAzol	9.1	NA	NA
1361	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e10	Female	OBIWAN 47 lane 7	e10	22311841	21488476	96%	QIAgen RNeasy QIAzol	9.1	NA	NA
1468	yes	Chicken (red junglefowl)	Heart	e10	Female	VADER 177 lane 5	e10	34962117	33491852	96%	QIAgen RNeasy QIAzol	9.1	NA	NA
1469	yes	Chicken (red junglefowl)	Heart	e10	Female	OBIWAN 94 lane 4	e10	32142236	30911571	96%	QIAgen RNeasy QIAzol	9	NA	NA
1505	yes	Chicken (red junglefowl)	Kidney	e10	Female	VADER 177 lane 7	e10	38792496	36586613	94%	QIAgen RNeasy QIAzol	9.2	NA	NA
1506	yes	Chicken (red junglefowl)	Liver	e10	Female	VADER 194 lane 8 / OBIWAN 47 lane 8	e10	29423586	28516184	97%	QIAgen RNeasy QIAzol	9.2	NA	NA
1509	yes	Chicken (red junglefowl)	Kidney	e10	Female	OBIWAN 94 lane 4	e10	33880053	32118284	95%	QIAgen RNeasy QIAzol	9	NA	NA
1715	yes	Chicken (red junglefowl)	Testis	e10	Male	VADER 126 lane 1	e10	24406787	23364357	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1717	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e10	Male	OBIWAN 51 lane 3	e10	21352914	20562269	96%	QIAgen RNeasy QIAzol	9	NA	NA
1720	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e10	Male	VADER 120 lane 3	e10	37939290	35046980	92%	QIAgen RNeasy QIAzol	9.1	NA	NA
1722	yes	Chicken (red junglefowl)	Testis	e10	Male	VADER 120 lane 3	e10	52694257	48752156	93%	QIAgen RNeasy QIAzol	8.6	NA	NA
1723	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Male	OBIWAN 42 lane 7	e10	73252462	66809541	91%	QIAgen RNeasy QIAzol	8.4	NA	NA
1724	yes	Chicken (red junglefowl)	Heart	e10	Male	VADER 177 lane 8	e10	33840871	32704570	97%	QIAgen RNeasy QIAzol	8.5	NA	NA
1725	no	Chicken (red junglefowl)	Kidney	e10	Male	VADER 191 lane 4	e10	42261370	40280521	95%	QIAgen RNeasy QIAzol	8.3	NA	NA
1729	yes	Chicken (red junglefowl)	Heart	e10	Male	OBIWAN 94 lane 4	e10	34449613	33085712	96%	QIAgen RNeasy QIAzol	8.7	NA	NA
1730	yes	Chicken (red junglefowl)	Kidney	e10	Male	VADER 177 lane 8	e10	39050426	37128501	95%	QIAgen RNeasy QIAzol	8.8	NA	NA
1731	yes	Chicken (red junglefowl)	Liver	e10	Male	VADER 126 lane 2	e10	30031045	28883495	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1735	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Male	OBIWAN 45 lane 8	e10	41657290	38567113	93%	QIAgen RNeasy QIAzol	9	NA	NA
1736	yes	Chicken (red junglefowl)	Heart	e10	Male	OBIWAN 94 lane 3	e10	35192092	33668641	96%	QIAgen RNeasy QIAzol	9.1	NA	NA
1738	yes	Chicken (red junglefowl)	Liver	e10	Male	OBIWAN 47 lane 6	e10	25400103	24440067	96%	QIAgen RNeasy QIAzol	8.9	NA	NA
1752	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Female	OBIWAN 43 lane 6	e10	30934870	29019304	94%	QIAgen RNeasy QIAzol	NA	10	NA
1755	yes	Chicken (red junglefowl)	Liver	e10	Female	VADER 126 lane 1	e10	27630241	26707060	97%	QIAgen RNeasy QIAzol	NA	9.4	NA
1807	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e10	Female	OBIWAN 47 lane 5	e10	33448735	31704496	95%	QIAgen RNeasy QIAzol	NA	9.8	NA
1350	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e12	Female	VADER 104 lane 4	e12	31916451	30323458	95%	QIAgen RNeasy QIAzol	9.1	NA	NA
1351	yes	Chicken (red junglefowl)	Ovary	e12	Female	VADER 104 lane 4	e12	28297870	26910680	95%	QIAgen RNeasy QIAzol	10	NA	NA
1353	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e12	Male	VADER 126 lane 8	e12	20622647	19741187	96%	QIAgen RNeasy QIAzol	9.4	NA	NA
1354	yes	Chicken (red junglefowl)	Testis	e12	Male	VADER 126 lane 1	e12	26083509	24787235	95%	QIAgen RNeasy QIAzol	9.6	NA	NA
1364	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e12	Male	VADER 104 lane 4	e12	31537092	29936560	95%	QIAgen RNeasy QIAzol	9.3	NA	NA
1365	yes	Chicken (red junglefowl)	Testis	e12	Male	VADER 104 lane 4	e12	30402242	28652411	94%	QIAgen RNeasy QIAzol	9.6	NA	NA
1368	yes	Chicken (red junglefowl)	Ovary	e12	Female	OBIWAN 42 lane 6	e12	23331299	21450182	92%	QIAgen RNeasy QIAzol	9.4	NA	NA
1470	yes	Chicken (red junglefowl)	Heart	e12	Female	OBIWAN 94 lane 3	e12	36753164	35501549	97%	QIAgen RNeasy QIAzol	9.1	NA	NA
1471	yes	Chicken (red junglefowl)	Heart	e12	Male	OBIWAN 94 lane 3	e12	34729098	33475171	96%	QIAgen RNeasy QIAzol	9.1	NA	NA
1472	yes	Chicken (red junglefowl)	Heart	e12	Male	VADER 177 lane 5	e12	34034427	32482662	95%	QIAgen RNeasy QIAzol	9.2	NA	NA
