sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4659250	ERR2576384	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576384/ERR2576384.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576384/ERR2576384.fastq.gz	E-MTAB-6769:1469sTS.Chicken.Heart.10.Female
SAMEA4659251	ERR2576385	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576385/ERR2576385.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576385/ERR2576385.fastq.gz	E-MTAB-6769:1505sTS.Chicken.Kidney.10.Female
SAMEA4659253	ERR2576387	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576387/ERR2576387.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576387/ERR2576387.fastq.gz	E-MTAB-6769:1506sTSm.Chicken.Liver.10.Female
SAMEA4659259	ERR2576393	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576393/ERR2576393.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576393/ERR2576393.fastq.gz	E-MTAB-6769:1723sTSm.Chicken.Cerebellum.10.Male
SAMEA4659260	ERR2576394	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576394/ERR2576394.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576394/ERR2576394.fastq.gz	E-MTAB-6769:1735sTS.Chicken.Cerebellum.10.Male
SAMEA4659263	ERR2576397	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576397/ERR2576397.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576397/ERR2576397.fastq.gz	E-MTAB-6769:1736sTS.Chicken.Heart.10.Male
SAMEA4659265	ERR2576399	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576399/ERR2576399.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576399/ERR2576399.fastq.gz	E-MTAB-6769:1730sTS.Chicken.Kidney.10.Male
SAMEA4659269	ERR2576403	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576403/ERR2576403.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576403/ERR2576403.fastq.gz	E-MTAB-6769:1722sTS.Chicken.Testis.10.Male
SAMEA4659274	ERR2576408	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576408/ERR2576408.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576408/ERR2576408.fastq.gz	E-MTAB-6769:1470sTS.Chicken.Heart.12.Female
SAMEA4659282	ERR2576416	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576416/ERR2576416.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576416/ERR2576416.fastq.gz	E-MTAB-6769:1353sTS.Chicken.Brain.12.Male
