sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4671620	ERR2588370	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588370/ERR2588370.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588370/ERR2588370.fastq.gz	E-MTAB-6798:2495sTS.Mouse.Heart.10.5.Male
SAMEA4671627	ERR2588377	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588377/ERR2588377.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588377/ERR2588377.fastq.gz	E-MTAB-6798:3461sTS.Mouse.Liver.10.5.Female
SAMEA4671629	ERR2588379	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588379/ERR2588379.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588379/ERR2588379.fastq.gz	E-MTAB-6798:3251sTS.Mouse.Ovary.10.5.Female
SAMEA4671631	ERR2588381	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588381/ERR2588381.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588381/ERR2588381.fastq.gz	E-MTAB-6798:3368sTS.Mouse.Testis.10.5.Male
SAMEA4671632	ERR2588382	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588382/ERR2588382.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588382/ERR2588382.fastq.gz	E-MTAB-6798:2579sTS.Mouse.Brain.10.5.Male
SAMEA4671634	ERR2588384	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588384/ERR2588384.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588384/ERR2588384.fastq.gz	E-MTAB-6798:3459sTS.Mouse.Brain.10.5.Female
SAMEA4671637	ERR2588387	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588387/ERR2588387.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588387/ERR2588387.fastq.gz	E-MTAB-6798:2944sTS.Mouse.Heart.11.5.Male
SAMEA4671640	ERR2588390	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588390/ERR2588390.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588390/ERR2588390.fastq.gz	E-MTAB-6798:3362sTS.Mouse.Kidney.11.5.Male
SAMEA4671646	ERR2588396	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588396/ERR2588396.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588396/ERR2588396.fastq.gz	E-MTAB-6798:3034sTS.Mouse.Liver.11.5.Male
SAMEA4671649	ERR2588399	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588399/ERR2588399.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588399/ERR2588399.fastq.gz	E-MTAB-6798:3367sTS.Mouse.Ovary.11.5.Female
SAMEA4671650	ERR2588400	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588400/ERR2588400.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588400/ERR2588400.fastq.gz	E-MTAB-6798:3361sTS.Mouse.Testis.11.5.Male
SAMEA4671653	ERR2588403	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588403/ERR2588403.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588403/ERR2588403.fastq.gz	E-MTAB-6798:2624sTS.Mouse.Brain.11.5.Male
SAMEA4671655	ERR2588405	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588405/ERR2588405.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588405/ERR2588405.fastq.gz	E-MTAB-6798:3096sTS.Mouse.Brain.11.5.Male
SAMEA4671657	ERR2588407	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588407/ERR2588407.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588407/ERR2588407.fastq.gz	E-MTAB-6798:3041sTS.Mouse.Heart.12.5.Male
SAMEA4671658	ERR2588408	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588408/ERR2588408.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588408/ERR2588408.fastq.gz	E-MTAB-6798:3502sTS.Mouse.Heart.12.5.Female
SAMEA4671660	ERR2588410	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588410/ERR2588410.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588410/ERR2588410.fastq.gz	E-MTAB-6798:3280sTS.Mouse.Kidney.12.5.Male
SAMEA4671672	ERR2588422	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588422/ERR2588422.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588422/ERR2588422.fastq.gz	E-MTAB-6798:2945sTS.Mouse.Brain.12.5.Male
SAMEA4671675	ERR2588425	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588425/ERR2588425.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588425/ERR2588425.fastq.gz	E-MTAB-6798:3043sTS.Mouse.Brain.12.5.Female
SAMEA4671679	ERR2588429	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588429/ERR2588429.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588429/ERR2588429.fastq.gz	E-MTAB-6798:2837sTS.Mouse.Brain.13.5.Male
SAMEA4671688	ERR2588438	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588438/ERR2588438.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588438/ERR2588438.fastq.gz	E-MTAB-6798:2817sTS.Mouse.Kidney.13.5.Female
SAMEA4671692	ERR2588442	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588442/ERR2588442.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588442/ERR2588442.fastq.gz	E-MTAB-6798:2816sTS.Mouse.Liver.13.5.Female
SAMEA4671694	ERR2588444	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588444/ERR2588444.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588444/ERR2588444.fastq.gz	E-MTAB-6798:2840sTS.Mouse.Liver.13.5.Male
SAMEA4671695	ERR2588445	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588445/ERR2588445.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588445/ERR2588445.fastq.gz	E-MTAB-6798:3916sTS.Mouse.Liver.13.5.Male
SAMEA4671696	ERR2588446	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588446/ERR2588446.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588446/ERR2588446.fastq.gz	E-MTAB-6798:3921sTS.Mouse.Liver.13.5.Male
SAMEA4671697	ERR2588447	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588447/ERR2588447.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588447/ERR2588447.fastq.gz	E-MTAB-6798:2818sTS.Mouse.Ovary.13.5.Female
SAMEA4671699	ERR2588449	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/009/ERR2588449/ERR2588449.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/009/ERR2588449/ERR2588449.fastq.gz	E-MTAB-6798:2826sTS.Mouse.Testis.13.5.Male
SAMEA4671706	ERR2588456	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588456/ERR2588456.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588456/ERR2588456.fastq.gz	E-MTAB-6798:2461sTS.Mouse.Heart.14.5.Male
SAMEA4671707	ERR2588457	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588457/ERR2588457.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588457/ERR2588457.fastq.gz	E-MTAB-6798:2487sTS.Mouse.Heart.14.5.Female
SAMEA4671714	ERR2588464	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588464/ERR2588464.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588464/ERR2588464.fastq.gz	E-MTAB-6798:2488sTS.Mouse.Kidney.14.5.Female
SAMEA4671724	ERR2588474	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588474/ERR2588474.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588474/ERR2588474.fastq.gz	E-MTAB-6798:2189sTS.Mouse.Brain.15.5.Female
SAMEA4671726	ERR2588476	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588476/ERR2588476.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588476/ERR2588476.fastq.gz	E-MTAB-6798:2247sTS.Mouse.Brain.15.5.Female
SAMEA4671730	ERR2588480	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588480/ERR2588480.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588480/ERR2588480.fastq.gz	E-MTAB-6798:2510sTS.Mouse.Heart.15.5.Female
SAMEA4671731	ERR2588481	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588481/ERR2588481.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588481/ERR2588481.fastq.gz	E-MTAB-6798:2186sTS.Mouse.Cerebellum.15.5.Male
SAMEA4671734	ERR2588484	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588484/ERR2588484.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588484/ERR2588484.fastq.gz	E-MTAB-6798:2218sTS.Mouse.Cerebellum.15.5.Female
SAMEA4671735	ERR2588485	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588485/ERR2588485.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588485/ERR2588485.fastq.gz	E-MTAB-6798:2505sTS.Mouse.Kidney.15.5.Male
SAMEA4671742	ERR2588492	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588492/ERR2588492.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588492/ERR2588492.fastq.gz	E-MTAB-6798:2219sTS.Mouse.Liver.15.5.Female
SAMEA4671743	ERR2588493	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588493/ERR2588493.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588493/ERR2588493.fastq.gz	E-MTAB-6798:2191sTS.Mouse.Ovary.15.5.Female
SAMEA4671746	ERR2588496	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588496/ERR2588496.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588496/ERR2588496.fastq.gz	E-MTAB-6798:2195sTS.Mouse.Testis.15.5.Male
SAMEA4671748	ERR2588498	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588498/ERR2588498.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588498/ERR2588498.fastq.gz	E-MTAB-6798:2257sTS.Mouse.Brain.16.5.Male
SAMEA4671750	ERR2588500	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588500/ERR2588500.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588500/ERR2588500.fastq.gz	E-MTAB-6798:2276sTS.Mouse.Brain.16.5.Male
SAMEA4671752	ERR2588502	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588502/ERR2588502.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588502/ERR2588502.fastq.gz	E-MTAB-6798:2514sTS.Mouse.Heart.16.5.Male
SAMEA4671756	ERR2588506	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588506/ERR2588506.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588506/ERR2588506.fastq.gz	E-MTAB-6798:2258sTS.Mouse.Cerebellum.16.5.Male
SAMEA4671761	ERR2588511	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/001/ERR2588511/ERR2588511.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/001/ERR2588511/ERR2588511.fastq.gz	E-MTAB-6798:2586sTS.Mouse.Kidney.16.5.Female
SAMEA4671763	ERR2588513	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588513/ERR2588513.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588513/ERR2588513.fastq.gz	E-MTAB-6798:2256sTS.Mouse.Liver.16.5.Female
SAMEA4671764	ERR2588514	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588514/ERR2588514.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588514/ERR2588514.fastq.gz	E-MTAB-6798:2272sTS.Mouse.Liver.16.5.Male
SAMEA4671773	ERR2588523	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588523/ERR2588523.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588523/ERR2588523.fastq.gz	E-MTAB-6798:2163sTS.Mouse.Brain.17.5.Female
SAMEA4671775	ERR2588525	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588525/ERR2588525.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588525/ERR2588525.fastq.gz	E-MTAB-6798:2589sTS.Mouse.Heart.17.5.Male
SAMEA4671776	ERR2588526	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588526/ERR2588526.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588526/ERR2588526.fastq.gz	E-MTAB-6798:2591sTS.Mouse.Heart.17.5.Male
SAMEA4671778	ERR2588528	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588528/ERR2588528.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588528/ERR2588528.fastq.gz	E-MTAB-6798:2595sTS.Mouse.Heart.17.5.Female
SAMEA4671783	ERR2588533	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/003/ERR2588533/ERR2588533.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/003/ERR2588533/ERR2588533.fastq.gz	E-MTAB-6798:2590sTS.Mouse.Kidney.17.5.Male
SAMEA4671784	ERR2588534	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588534/ERR2588534.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588534/ERR2588534.fastq.gz	E-MTAB-6798:2592sTS.Mouse.Kidney.17.5.Male
SAMEA4671786	ERR2588536	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/006/ERR2588536/ERR2588536.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/006/ERR2588536/ERR2588536.fastq.gz	E-MTAB-6798:2596sTS.Mouse.Kidney.17.5.Female
SAMEA4671792	ERR2588542	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/002/ERR2588542/ERR2588542.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/002/ERR2588542/ERR2588542.fastq.gz	E-MTAB-6798:2221sTS.Mouse.Ovary.17.5.Female
SAMEA4671795	ERR2588545	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588545/ERR2588545.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588545/ERR2588545.fastq.gz	E-MTAB-6798:2307sTS.Mouse.Brain.18.5.Male
SAMEA4671797	ERR2588547	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/007/ERR2588547/ERR2588547.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/007/ERR2588547/ERR2588547.fastq.gz	E-MTAB-6798:2317sTS.Mouse.Brain.18.5.Male
SAMEA4671798	ERR2588548	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/008/ERR2588548/ERR2588548.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/008/ERR2588548/ERR2588548.fastq.gz	E-MTAB-6798:2323sTS.Mouse.Brain.18.5.Female
SAMEA4671800	ERR2588550	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/000/ERR2588550/ERR2588550.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/000/ERR2588550/ERR2588550.fastq.gz	E-MTAB-6798:2635sTS.Mouse.Heart.18.5.Male
SAMEA4671804	ERR2588554	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/004/ERR2588554/ERR2588554.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/004/ERR2588554/ERR2588554.fastq.gz	E-MTAB-6798:2314sTS.Mouse.Cerebellum.18.5.Female
SAMEA4671805	ERR2588555	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR258/005/ERR2588555/ERR2588555.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR258/005/ERR2588555/ERR2588555.fastq.gz	E-MTAB-6798:2318sTS.Mouse.Cerebellum.18.5.Male
